DISTRICT NAME,SUB-DISTRICT NAME
Chamba,Pangi
Chamba,Chaurah
Chamba,Saluni
Chamba,Bhalai
Chamba,Dalhousie
Chamba,Bhattiyat
Chamba,Sihunta
Chamba,Chamba
Chamba,Holi
Chamba,Brahmaur
Kangra,Nurpur
Kangra,Indora
Kangra,Fatehpur
Kangra,Jawali
Kangra,Harchakian
Kangra,Shahpur
Kangra,Dharmsala
Kangra,Kangra
Kangra,Nagrota Bagwan
Kangra,Baroh
Kangra,Dera Gopipur
Kangra,Jawalamukhi
Kangra,Jaswan
Kangra,Rakkar
Kangra,Khundian
Kangra,Thural
Kangra,Dhira
Kangra,Jaisinghpur
Kangra,Palampur
Kangra,Baijnath
Kangra,Multhan
Lahul & Spiti,Udaipur
Lahul & Spiti,Lahul
Lahul & Spiti,Spiti
Kullu,Manali
Kullu,Kullu
Kullu,Sainj
Kullu,Banjar
Kullu,Ani
Kullu,Nermand
Mandi,Padhar
Mandi,Jogindarnagar
Mandi,Lad Bharol
Mandi,Sandhol
Mandi,Dharmpur
Mandi,Kotli
Mandi,Sarkaghat
Mandi,Bhadrota
Mandi,Baldwara
Mandi,Sundarnagar
Mandi,Mandi
Mandi,Aut
Mandi,Bali Chowki
Mandi,Thunag
Mandi,Chachyot
Mandi,Nihri
Mandi,Karsog
Hamirpur,Tira Sujanpur
Hamirpur,Nadaun
Hamirpur,Galore
Hamirpur,Hamirpur
Hamirpur,Barsar
Hamirpur,Dhatwal
Hamirpur,Bhoranj
Una,Bharwain
Una,Amb
Una,Bangana
Una,Una
Una,Haroli
Bilaspur,Ghumarwin
Bilaspur,Bharari
Bilaspur,Jhanduta
Bilaspur,Naina Devi
Bilaspur,Bilaspur Sadar
Bilaspur,Namhol
Solan,Arki
Solan,Darlaghat
Solan,Ramshahr
Solan,Nalagarh
Solan,Baddi
Solan,Krishangarh
Solan,Kasauli
Solan,Solan
Solan,Kandaghat
Sirmaur,Rajgarh
Sirmaur,Nohra
Sirmaur,Pachhad
Sirmaur,Renuka
Sirmaur,Dadahu
Sirmaur,Nahan
Sirmaur,Paonta Sahib
Sirmaur,Kamrau
Sirmaur,Shalai
Sirmaur,Ronhat
Shimla,Rampur
Shimla,Nankhari
Shimla,Kumharsain
Shimla,Seoni
Shimla,Shimla   ( Rural )
Shimla,Junga
Shimla,Theog
Shimla,Chaupal
Shimla,Cheta
Shimla,Nerua
Shimla,Jubbal
Shimla,Kotkhai
Shimla,Tikar
Shimla,Rohru
Shimla,Chirgaon
Shimla,Dodra Kwar
Kinnaur,Hangrang
Kinnaur,Poo
Kinnaur,Morang
Kinnaur,Kalpa
Kinnaur,Nichar
Kinnaur,Sangla
Gurdaspur,Dhar Kalan
Gurdaspur,Pathankot
Gurdaspur,Gurdaspur
Gurdaspur,Batala
Gurdaspur,Dera Baba Nanak
Kapurthala,Bhulath
Kapurthala,Kapurthala
Kapurthala,Sultanpur Lodhi
Kapurthala,Phagwara
Jalandhar,Shahkot
Jalandhar,Nakodar
Jalandhar,Phillaur
Jalandhar,Jalandhar - I
Jalandhar,Jalandhar - Ii
Hoshiarpur,Dasua
Hoshiarpur,Mukerian
Hoshiarpur,Hoshiarpur
Hoshiarpur,Garhshankar
Shahid Bhagat Singh Nagar,Nawanshahr
Shahid Bhagat Singh Nagar,Balachaur
Fatehgarh Sahib,Bassi Pathana
Fatehgarh Sahib,Fatehgarh Sahib
Fatehgarh Sahib,Amloh
