SUB-DISTRICT NAME,Area Name
Pangi,R.F.Luj  (6)
Pangi,Luj  (7)
Pangi,Dharwas  (11)
Pangi,R.F.Kanyun  (8)
Pangi,R.F.Urnu  (9)
Pangi,D.P.F.Pinchho  (10)
Pangi,Kuthah  (12)
Pangi,Chaloli  (13)
Pangi,Rusmas  (14)
Pangi,Tai  (15)
Pangi,Sural Bhatori  (16)
Pangi,Dhar Shinkal  (17)
Pangi,Hundan Bhatori  (18)
Pangi,Tundru  (19)
Pangi,Takwas  (20)
Pangi,Seri Bhatwas  (21)
Pangi,Kawas  (24)
Pangi,Praghwal  (28)
Pangi,Hughal  (25)
Pangi,Jhalwas  (20)
Pangi,Ghangit  (27)
Pangi,R.F.Chilkot  (5)
Pangi,Rani Ka Gahar  (4)
Pangi,Gahar Dunei  (1)
Pangi,Gahar Bindrabani  (2)
Pangi,Pre Garaon  (3)
Pangi,R.F.Kalatop  (29)
Pangi,Punto  (30)
Pangi,R.F.Punto  (31)
Pangi,Karel  (32)
Pangi,Mahliat  (33)
Pangi,Kupha  (23)
Pangi,Thamoh  (34)
Pangi,Parmas  (22)
Pangi,R.F.Chhatwani  (35)
Pangi,Chacharwas  (36)
Pangi,Kothi  (38)
Pangi,Seri   (37)
Pangi,Dhar Parmar (51)
Pangi,Parmar  (45)
Pangi,Kumar  (44)
Pangi,D.P.F.Biyuseri  (42)
Pangi,Gawari  (41)
Pangi,R.F.Rangi  (43)
Pangi,Phindru  (40)
Pangi,R.F.Sidh-Ka-Dehra  (39)
Pangi,R.F.Kagal  (89)
Pangi,Dhar Chichot  (90)
Pangi,Dhar Bhasanu  (91)
Pangi,Phindpar  (88)
Pangi,Mindhal  (87)
Pangi,Sach (47)
Pangi,Khinan  (46)
Pangi,Kuthal  (48)
Pangi,Ghisal  (49)
Pangi,Hilaur  (50)
Pangi,Micham  (53)
Pangi,Dhar Dusgahar  (52)
Pangi,Dhar Udeen  (58)
Pangi,Dhar Chholagu (59)
Pangi,Dhar Topiyun  (60)
Pangi,Tuwan  (61)
Pangi,Udeen  (57)
Pangi,Shoon  (56)
Pangi,Leu  (55)
Pangi,Sahli  (54)
Pangi,Dhanala  (75)
Pangi,R.F.Pilu  (76)
Pangi,R.F.Bambal  (86)
Pangi,R.F.Kulal  (93)
Pangi,Kulal  (92)
Pangi,Dhar Bansar  (95)
Pangi,R.F.Chakmand  (94)
Pangi,Dhar Thimi  (96)
Pangi,R.F.Kaslun  (97)
Pangi,Rei  (85)
Pangi,R.F.Thandal  (84)
Pangi,Chhau  (83)
Pangi,D.P.F.Ranu (98)
Pangi,R.F.Ajog  (99)
Pangi,Ajog  (100)
Pangi,R.F.Nildhar  (101)
Pangi,Dhar Panala  (103)
Pangi,Dhar Lunei  (104)
Pangi,Dhar Tarmpal  (106)
Pangi,R.F.Pingu  (105)
Pangi,D.P.F.Pingu  (102)
Pangi,Shour  (79)
Pangi,R.F.Shour  (80)
Pangi,D.P.F.Purthi  (81)
Pangi,Purthi  (82)
Pangi,D.P.F.Kadunalah  (78)
Pangi,Thandal  (77)
Pangi,R.F.Kaban  (74)
Pangi,Mojhi  (73)
Pangi,R.F.Mojhi  (72)
Pangi,D.P.F. Aahar (71)
Pangi,Saichu  (65)
Pangi,R.F.Saichu  (64)
Pangi,Dhar Gahl  (62)
Pangi,Dhar Harvi  (63)
Pangi,Chasak  (66)
Pangi,D.P.F.Gajrahan  (69)
Pangi,Dhar Sidhani  (70)
Pangi,Chasak Bhator  (68)
Pangi,Dhar Chasak Bhator   (67)
Chaurah,Trakar Kalaban  (367)
Chaurah,Trakar Malikundi Malur  (366)
Chaurah,Alwas  (365)
Chaurah,R.F.Singra  (364)
Chaurah,Dhar Singra  (363)
Chaurah,Tarakar Jhamuni (362)
Chaurah,R.F. Neru  (361)
Chaurah,Trakar Mansa  (360)
Chaurah,Mansa  (359)
Chaurah,R.F.Mansa  (358)
Chaurah,Guila  (357)
Chaurah,R.F.Guila  (356)
Chaurah,R.F.Guddan  (373)
Chaurah,Guddan  (374)
Chaurah,Trakar Rani Kot  (368)
Chaurah,Dind  (372)
Chaurah,R.F.Dind  (375)
Chaurah,Sathias  (376)
Chaurah,Garh  (377)
Chaurah,Chalonj  (371)
Chaurah,Trakar Kateli  (369)
Chaurah,Ghulei  (370)
Chaurah,Majoga  (379)
Chaurah,Siri  (378)
Chaurah,Shaol  (353)
Chaurah,R.F.Shaol  (351)
Chaurah,Aoun (349)
Chaurah,R.F.Suila  (354)
Chaurah,Junas  (355)
Chaurah,Mulwas  (348)
Chaurah,Mangli   (345)
Chaurah,R.F.Majur  (346)
Chaurah,Bhauras  (347)
Chaurah,R.F.Hailera  (344)
Chaurah,Andwas (350)
Chaurah,Bunderi  (352)
Chaurah,D.P.F.Chholi  (341)
Chaurah,R.F.Junth  (340)
Chaurah,Chiyuli (342)
Chaurah,Dhar Mehilwar  (343)
Chaurah,Dhar Makkan  (311)
Chaurah,Dhar Chachul  (307)
Chaurah,R.F.Chachul  (308)
Chaurah,Dhar Bhujgali  (305)
Chaurah,Dhar Sau  (306)
Chaurah,R.F.Sau  (303)
Chaurah,Sau  (304)
Chaurah,Chachul  (309)
Chaurah,Makkan  (310)
Chaurah,Sanwal  (315)
Chaurah,R.F.Jangbani  (314)
Chaurah,Baraila  (313)
Chaurah,Dhar Kalopar  (312)
Chaurah,Matiund  (322)
Chaurah,Nanori  (321)
Chaurah,R.F.Shakti  (320)
Chaurah,Dehgran  (317)
Chaurah,Shalela Bari  (316)
Chaurah,D.P.F. Kherna   (287)
Chaurah,Ail  (297)
Chaurah,R.F.Ail  (301)
Chaurah,D.P.F.Khajrala  (302)
Chaurah,Dhar Sharwani  (300)
Chaurah,R.F.Shagwari  (298)
Chaurah,D.P.F.Teru  (294)
Chaurah,Dhar Teru  (299)
Chaurah,Dhar Gunyali  (293)
Chaurah,Shagwari  (296)
Chaurah,D.P.F.Chandraul  (290)
Chaurah,R.F.Chandraul  (295)
Chaurah,Dhar Bharnu  (292)
Chaurah,Bharnu  (291)
Chaurah,Khangu  (288)
Chaurah,D.P.F.Khangu  (289)
Chaurah,D.P.F.Jawala  (286)
Chaurah,R.F.Khangu  (272)
Chaurah,D.P.F.Halai  (285)
Chaurah,Ludrora  (284)
Chaurah,R.F. Tikari    (283)
Chaurah,D.P.F.Chili  (273)
Chaurah,Chalai    (282)
Chaurah,Bhatsar  (318)
Chaurah,Jhaj  (319)
Chaurah,Saunda  (323)
Chaurah,Shapriot  (324)
Chaurah,R.F.Luinda  (336)
Chaurah,Luinda  (339)
Chaurah,Haloga  (337)
Chaurah,Junth  (338)
Chaurah,Ohla  (335)
Chaurah,Sai Kothi  (334)
Chaurah,Shali  (333)
Chaurah,Hartwas  (332)
Chaurah,R.F.Kella  (330)
Chaurah,Kella  (331)
Chaurah,Jawari  (329)
Chaurah,Thanai Kothi  (325)
Chaurah,Hiar  (326)
Chaurah,Kulthot  (327)
Chaurah,Kuther  (328)
Chaurah,Sudla  (278)
Chaurah,Dhabbi  (279)
Chaurah,Bihun  (281)
Chaurah,D.P.F.Seru  (280)
Chaurah,Chili  (275)
Chaurah,R.F.Chili  (274)
Chaurah,D.P.F.Jhola  (276)
Chaurah,Chundi  (277)
Chaurah,R.F.Himgiri  (244)
Chaurah,Kalog  (242)
Chaurah,Kalias  (241)
Chaurah,Chihi  (240)
Chaurah,Kunda  (243)
Chaurah,Dakala  (245)
Chaurah,Garhwalka  (250)
Chaurah,Tikri  (254)
Chaurah,Parandri  (249)
Chaurah,Shiunwai  (246)
Chaurah,Khandiaru  (248)
Chaurah,Sai  (247)
Chaurah,Ramund  (239)
Chaurah,Buin  (409)
Chaurah,Kasbati-Bhunjraru  (410)
Chaurah,Daonri  (408)
Chaurah,D.P.F.Daonri  (406)
Chaurah,R.F.Daonri  (407)
Chaurah,Tatrog  (405)
Chaurah,Kutehr  (403)
Chaurah,Gwari  (400)
Chaurah,R.F.Sambal  (401)
Chaurah,Shalan  (402)
Chaurah,D.P.F.Topi  (398)
Chaurah,Kalei  (399)
Chaurah,Puktala  (395)
Chaurah,Galua  (380)
Chaurah,Meas  (384)
Chaurah,Trakar Kurandi  (385)
Chaurah,Teppa  (386)
Chaurah,Trakardar  (387)
Chaurah,Chandru  (391)
Chaurah,Trakar Khurian  (388)
Chaurah,R.F. Dalarun    (389)
Chaurah,R.F.Chandru  (390)
Chaurah,R.F.Uppar Tain  (392)
Chaurah,Devi Kothi  (383)
Chaurah,R.F.Devi Kothi  (382)
Chaurah,Silon  (381)
Chaurah,Sapranjla  (394)
Chaurah,R.F.Lowertain  (393)
Chaurah,D.P.F.Puktala  (397)
Chaurah,R.F.Puktala  (396)
Chaurah,Sagloga  (404)
Chaurah,Dudra  (419)
Chaurah,Paddar  (415)
Chaurah,Madan Shalancha  (414)
Chaurah,Dob Dikriund  (413)
Chaurah,Tisa  (412)
